level_0,mid,value_col,iso_code,model_type,R2,MAE,MSE,RMSE,R2_train,MAE_train,MSE_train,RMSE_train,Year,lower,upper,transform,excess,country_name,continent,excess_category
123,55,38,PAN,SVR_RBF,,0.06130323002122173,0.06130323002122173,0.0037580860110348214,0.8932344816658523,0.038761657411722855,0.048177259771821364,0.002321048359121557,2020,0,0,log transform,0,Panama,North America,0. No Excess Deaths
150,2981,1516,ZAF,SVR_RBF,,0.20748654090907603,0.20748654090907603,0.04305066465841368,0.8570853778945138,0.05666958867899929,0.06579755231281777,0.0043293178903579905,2020,0,0,log transform,0,South Africa,Africa,0. No Excess Deaths
66,403,362,GTM,Bayesian_ridge,,0.051766905392621965,0.051766905392621965,0.002679812493928673,0.968811817919617,0.03830989212011079,0.04729774116252242,0.0022370763190769677,2020,0,0,log transform,0,Guatemala,North America,0. No Excess Deaths
184,2981,1734,ZWE,SVR_RBF,,0.4135452603430778,0.4135452603430778,0.171019682352224,0.9212761778519438,0.066361714029048,0.08741508309923458,0.007641396753246088,2020,0,0,log transform,0,Zimbabwe,Africa,0. No Excess Deaths
5,403,286,ARG,SVR_RBF,,0.04585831099350912,0.04585831099350912,0.0021029846871773996,0.9620275766559354,0.050590380240465214,0.05954871677486403,0.0035460496695329724,2020,0,0,log transform,0,Argentina,South America,0. No Excess Deaths
3,2981,2914,AGO,SVR_RBF,,0.07600530610868983,0.07600530610868983,0.005776806556675644,0.9607253890769599,0.052910148373656214,0.06134467630763555,0.0037631693112885824,2020,0,0,log transform,0,Angola,Africa,0. No Excess Deaths
41,55,42,CUB,SVR_RBF,,0.10037834012055136,0.10037834012055136,0.01007581116535709,0.9780301383044386,0.04238055153316103,0.053172806128293566,0.002827347311557094,2020,0,0,log transform,0,Cuba,North America,0. No Excess Deaths
4,0,0,ATG,SVR_RBF,,0.039431017698251525,0.039431017698251525,0.001554805156719825,0.9581105644552645,0.06064190374395653,0.0710354212100571,0.005046031066490229,2020,0,0,log transform,0,Antigua and Barbuda,North America,0. No Excess Deaths
40,3,2,HRV,SVR_RBF,,0.14203448092182291,0.14203448092182291,0.02017379377073168,0.9617419313687641,0.07813248604557632,0.08578586460908111,0.007359214566727595,2020,0,0,log transform,0,Croatia,Europe,0. No Excess Deaths
39,8103,4401,CIV,SVR_RBF,,0.15125427983579165,0.15125427983579165,0.02287785716864397,0.8790504251249486,0.0505804997376914,0.05892269479879495,0.003471883962351938,2020,0,0,log transform,0,Côte d'Ivoire,Africa,0. No Excess Deaths
38,20,14,CRI,SVR_RBF,,0.05859124521366876,0.05859124521366876,0.0034329340156882627,0.9735204690125562,0.05075407050341852,0.06209726099855359,0.0038560698235224843,2020,0,0,log transform,0,Costa Rica,North America,0. No Excess Deaths
37,1097,503,COG,SVR_RBF,,0.30615715344718364,0.30615715344718364,0.09373220260688235,0.8196385611645006,0.05228394969025358,0.06526436428694622,0.004259437245779222,2020,0,0,log transform,0,Congo,Africa,0. No Excess Deaths
36,55,52,COM,Bayesian_ARD,,0.07244137186212685,0.07244137186212685,0.005247752357266943,0.9761970127254995,0.02750979592809354,0.03293489926497007,0.0010847075895937261,2020,0,0,log transform,0,Comoros,Africa,0. No Excess Deaths
34,2981,2822,CHN,SVR_RBF,,0.07458266049934714,0.07458266049934714,0.005562573247160876,0.988496072130482,0.05981862901216992,0.06902272683149571,0.004764136819255279,2020,0,0,log transform,0,China,Asia,0. No Excess Deaths
32,8103,7764,TCD,SVR_RBF,,0.11524481030577505,0.11524481030577505,0.013281366302414074,0.946039734560415,0.046302674942969295,0.056792847345397364,0.0032254275095976084,2020,0,0,log transform,0,Chad,Africa,0. No Excess Deaths
31,2981,1888,CAF,SVR_RBF,,0.1928989721406138,0.1928989721406138,0.0372100134529053,0.8832144385590565,0.06318366622198103,0.06819117025698469,0.0046500357010170745,2020,0,0,log transform,0,Central African Republic,Africa,0. No Excess Deaths
7,20,9,AUS,SVR_RBF,,0.47662385937166896,0.47662385937166896,0.22717030332234447,0.8870640178045331,0.053708133517814415,0.06322623306303465,0.003997556547341176,2020,0,0,log transform,0,Australia,Oceania,0. No Excess Deaths
44,403,368,PRK,SVR_RBF,,0.1500938456286276,0.1500938456286276,0.022528162495590292,0.6575200803799421,0.1340075924959968,0.181388353906413,0.03290173493287813,2020,0,0,log transform,0,"Korea, Democratic People's Republic of",Asia,0. No Excess Deaths
30,55,41,CAN,SVR_RBF,,0.17327891617728985,0.17327891617728985,0.030025582791576244,0.9090189029941764,0.054448771081691875,0.06332102273590628,0.004009551920321161,2020,0,0,log transform,0,Canada,North America,0. No Excess Deaths
9,55,54,AZE,SVR_RBF,,0.2584144941335538,0.2584144941335538,0.0667780507783005,0.9624538567198495,0.05572619161481061,0.06456887434532582,0.004169139534222475,2020,0,0,log transform,0,Azerbaijan,Asia,0. No Excess Deaths
10,7,4,BHS,SVR_RBF,,0.17939559634162117,0.17939559634162117,0.03218277998676588,0.6838435991817702,0.05507823775811976,0.06619860389788793,0.004382255158029463,2020,0,0,log transform,0,Bahamas,North America,0. No Excess Deaths
