mean,mean_se,mean_ci_lower,mean_ci_upper,year,pdq,geo
7.187193438507844,2.357666762374285,2.5662514967070917,11.808135380308595,2050-12-31,602,Western Europe
7.206770212739123,2.3581789053190163,2.584824489211761,11.828715936266484,2051-12-31,602,Western Europe
7.215014949449063,2.3581991326946556,2.5930295809939468,11.837000317904181,2052-12-31,602,Western Europe
7.210141312910361,2.3583723684518154,2.587816408610376,11.832466217210346,2053-12-31,602,Western Europe
7.198312535411659,2.359204842170628,2.574356012604725,11.822269058218591,2054-12-31,602,Western Europe
7.172278545661969,2.3611618020942253,2.5444864518855965,11.800070639438342,2055-12-31,602,Western Europe
7.142585531032896,2.364426208007809,2.50839531923498,11.776775742830813,2056-12-31,602,Western Europe
7.09973961192787,2.3692647336649095,2.456066064103764,11.743413159751976,2057-12-31,602,Western Europe
7.054702671013672,2.3755849648874423,2.3986416976194365,11.710763644407908,2058-12-31,602,Western Europe
6.99982438420424,2.3834153355271757,2.328416166370527,11.671232602037954,2059-12-31,602,Western Europe
6.942474864602807,2.392526663828917,2.253208771446361,11.631740957759252,2060-12-31,602,Western Europe
6.880154832086688,2.4026948166095825,2.1709595256908356,11.58935013848254,2061-12-31,602,Western Europe
6.814155208359057,2.413697139936442,2.083395744496295,11.544914672221818,2062-12-31,602,Western Europe
6.7483499773071305,2.4251092263559393,1.9952232350736958,11.501476719540566,2063-12-31,602,Western Europe
6.677913427405272,2.436792095923932,1.9018886815824931,11.453938173228051,2064-12-31,602,Western Europe
6.611774244082618,2.4482416118429082,1.8133088594182265,11.410239628747009,2065-12-31,602,Western Europe
6.541349856717699,2.45939817974388,1.7210180007763274,11.36168171265907,2066-12-31,602,Western Europe
6.47732112819913,2.469824363863249,1.6365543268876124,11.318087929510648,2067-12-31,602,Western Europe
6.411112011374288,2.4794911805541386,1.5513985975034759,11.2708254252451,2068-12-31,602,Western Europe
6.351198352251105,2.488139858223197,1.4745338416350426,11.227862862867166,2069-12-31,602,Western Europe
6.292654570970657,2.495732004042435,1.4011097279835116,11.184199413957803,2070-12-31,602,Western Europe
6.2387020589017,2.502222778154162,1.334435532423785,11.142968585379617,2071-12-31,602,Western Europe
6.190148929028594,2.507564431487514,1.2754129543994104,11.104884903657778,2072-12-31,602,Western Europe
6.143995874778797,2.5118828661837047,1.2207959236754924,11.067195825882102,2073-12-31,602,Western Europe
6.106513802838825,2.515154660350955,1.1769012530028808,11.03612635267477,2074-12-31,602,Western Europe
6.069933156277918,2.5175900432174885,1.135547343735003,11.004318968820833,2075-12-31,602,Western Europe
6.043516045933804,2.5192248454949704,1.1059260798051795,10.981106012062428,2076-12-31,602,Western Europe
6.017967365641758,2.5202720606527476,1.0783248955198266,10.95760983576369,2077-12-31,602,Western Europe
6.001888071211869,2.520831482208844,1.0611491549878131,10.942626987435926,2078-12-31,602,Western Europe
5.988182888929321,2.5210750668065733,1.0469665556665273,10.929399222192115,2079-12-31,602,Western Europe
5.981424792429208,2.5211329504253,1.0400950093584145,10.9227545755,2080-12-31,602,Western Europe
5.97945112279614,2.521132959756299,1.0381213214369245,10.920780924155356,2081-12-31,602,Western Europe
5.981050980106331,2.5211829074746355,1.0396232830180656,10.922478677194597,2082-12-31,602,Western Europe
5.989684725234729,2.521382600037971,1.047865637914346,10.93150381255511,2083-12-31,602,Western Europe
5.998877520796642,2.521777647621904,1.0562841544395702,10.941470887153713,2084-12-31,602,Western Europe
6.0161387119919505,2.522448751287499,1.07223000662042,10.96004741736348,2085-12-31,602,Western Europe
6.0322810153045205,2.523374595434333,1.0865576887498989,10.978004341859142,2086-12-31,602,Western Europe
6.055699685520593,2.524606380412593,1.1075621047718842,11.0038372662693,2087-12-31,602,Western Europe
6.078039246210203,2.5260853841850603,1.1270028713344589,11.029075621085948,2088-12-31,602,Western Europe
6.1051164095751105,2.5278120618685316,1.1506958086268533,11.059537010523368,2089-12-31,602,Western Europe
6.132536450587151,2.52973262095004,1.1743516230089561,11.090721278165345,2090-12-31,602,Western Europe
